"Year","Municipality","Offence group and specifier for criminal act","Offences known to the authorities (number)"
"1980","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10897
"1980","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1980","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1980","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1981","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",13061
"1981","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1981","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1981","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1982","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",19091
"1982","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1982","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1982","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1983","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",20102
"1983","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1983","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1983","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1984","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",25930
"1984","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1984","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1984","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1985","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",33513
"1985","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1985","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1985","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1986","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",41812
"1986","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1986","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1986","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1987","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",40329
"1987","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1987","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1987","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1988","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",50095
"1988","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1988","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1988","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1989","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",58623
"1989","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1989","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1989","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1990","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",86608
"1990","WHOLE COUNTRY","1117 Aggravated fraud 36:2",0
"1990","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",0
"1990","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",0
"1991","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",15749
